,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
363,2012,경기도 일산동 1066,후곡마을(금호),41,1.0,13318,317
364,2012,경기도 일산동 1066,후곡마을(금호),83,2.0,29333,350
365,2012,경기도 일산동 1066,후곡마을(한양),41,1.0,12656,307
366,2012,경기도 일산동 1066,후곡마을(한양),84,3.0,28550,335
367,2012,경기도 일산동 1069,후곡마을(현대3),101,3.0,35442,347
368,2012,경기도 일산동 1069,후곡마을(현대3),133,3.0,45050,337
369,2012,경기도 일산동 1069,후곡마을(현대3),170,3.0,61000,357
370,2012,경기도 일산동 1074,후곡마을(동아10),130,3.0,42500,326
371,2012,경기도 일산동 1074,후곡마을(서안),130,3.0,39000,299
372,2012,경기도 일산동 1074,후곡마을(서안),158,3.0,59800,376
373,2012,경기도 일산동 1074,후곡마을(임광),130,3.0,49500,380
374,2012,경기도 일산동 1077,후곡마을(건영15),58,1.0,20100,341
375,2012,경기도 일산동 1077,후곡마을(건영15),70,2.0,23790,334
